,tweet_text,date,hashtags,link
588,BREAKING: @MoICT_Ug budget slashed as @MinofHealthUG gets UGX.125bn for #COVID19UG fight. @JuliusMukunda @mofpedU @Parliament_Ug @RebeccaKadagaUG @GovUganda @smagara4 @katabaazi25 @rubapatrick #STAYSAFEUG,2020-04-04 10:21:21+00:00,#COVID19UG #STAYSAFEUG,https://twitter.com/CSBAGUGANDA/status/1246382340877824000
589,WhatsApp is awash with a message that the Hon. Minister for Education and Sports Mama @JanetMuseveni will address the Nation on the Education Response Plan to COVID-19 today at 4pm I request for confirmation Thank you #COVID19UG @Educ_SportsUg @nbstv @ictteachersug @ntvuganda,2020-04-04 10:10:41+00:00,#COVID19UG,https://twitter.com/ug_teacher/status/1246379656191696901
590,"RT Uwihanganye_A: GovUganda response to the #COVID19UG crisis in aid of the most vulnerable in our community around, Kampala, Mukono and Wakiso. #StaySafeStayHome Thank you, Prime Minister, RuhakanaR for your continued leadership during this difficult time. …",2020-04-04 10:03:16+00:00,#COVID19UG #StaySafeStayHome,https://twitter.com/wt_lambert/status/1246377791874088961
591,RT bamulanzeki: Prime minister Hon RuhakanaR has flagged of the relief food distribution drive to vulnerable people of Kampala in the wake of the #COVID19UG pandemic #STAYSAFEUG #ugandalockdown #StayhomeUG #UGLOCKDOWN observerug https://ift.tt/3e3Iq9I #DoItFromHome #dothefive,2020-04-04 10:03:16+00:00,#COVID19UG #STAYSAFEUG #ugandalockdown #StayhomeUG #UGLOCKDOWN #DoItFromHome #dothefive,https://twitter.com/wt_lambert/status/1246377790171201536
592,baatwe kubwerere. we shall rem. them that they offered comfortable lodging as their social responsibility during #COVID19ug pandemic. ,2020-04-04 10:01:36+00:00,#COVID19ug,https://twitter.com/Mmalikisi/status/1246377370145218561
593,Are u following what @Smart24TvUganda is doing to updat the nation? #SmartBusiness #COVID19UG ,2020-04-04 09:57:47+00:00,#SmartBusiness #COVID19UG,https://twitter.com/MosesMusanzi/status/1246376412006809600
594,RELIEF DISTRIBUTION PLAN FOR KAMPALA AND WAKISO FOR URBAN POOR It will be launched on 4th Saturday in Bwaise #COVID19UG @MinofHealthUG @KagutaMuseveni @StateHouseUg @GovUganda @GCICUganda @mkainerugaba @UgandaMediaCent @MoICT_Ug @NRMOnline,2020-04-04 09:50:10+00:00,#COVID19UG,https://twitter.com/akmartos1/status/1246374492546445313
595,"Stock up - daily home essentials for the unforeseeable times - with just a click. Buy food, cleaning supplies, household items, body care items etc. Shop now >> https://bit.ly/2wcZjxz #JumiaContactlessDelivery #JumiaHeroes #JumiaSafeDelivery #COVID19UG #STAYSAFEUG",2020-04-04 09:28:36+00:00,#JumiaContactlessDelivery #JumiaHeroes #JumiaSafeDelivery #COVID19UG #STAYSAFEUG,https://twitter.com/Phathahofficial/status/1246369066924867584
596,Who else is watching @Smart24TvUganda right now? #SmartBusiness #COVID19UG ,2020-04-04 09:16:19+00:00,#SmartBusiness #COVID19UG,https://twitter.com/MosesMusanzi/status/1246365975009792000
597,"@KagutaMuseveni : “It is not about convenience anymore, it is survival”. Please educate friends who might be inclined to behave like livestock. #STAYSAFEUG #COVID19UG ",2020-04-04 09:00:44+00:00,#STAYSAFEUG #COVID19UG,https://twitter.com/karugire/status/1246362052395970560
598,"Stock up you daily home essentials for the unforeseeable times - with just a click. Buy food, cleaning supplies, household items, body care items etc. Shop now >> https://bit.ly/2wcZjxz #JumiaContactlessDelivery #JumiaHeroes #JumiaSafeDelivery #COVID19UG #STAYSAFEUG",2020-04-04 09:00:35+00:00,#JumiaContactlessDelivery #JumiaHeroes #JumiaSafeDelivery #COVID19UG #STAYSAFEUG,https://twitter.com/Phathahofficial/status/1246362014454288388
599,"M7: we're gladly receiving Foo fighters, rn confused about the food delivery personel! #COVID19UG",2020-04-04 08:57:22+00:00,#COVID19UG,https://twitter.com/NdawulaSchism/status/1246361206283173888
600,S o c i a l d i s t a n c i n g is a non-pharmaceutical measure issued by @WHOUganda to prevent the spread of #Covid19UG by maintaining a physical distance of 2 metres between people and reducing the number of times people come into close contact with each other. ,2020-04-04 08:50:28+00:00,#Covid19UG,https://twitter.com/RwenzoriUg/status/1246359469212172288
601,imagine flagging off another person's donation. These ministers need to stay at home! #covid19ug,2020-04-04 08:41:27+00:00,#covid19ug,https://twitter.com/iamgidudu/status/1246357202262163456
602,@JaneRuth_Aceng #Uganda is lucky to have you. Here's why the #COVID19UG pandemic needs more female leaders http://lnnk.in/3Qk,2020-04-04 08:37:25+00:00,#Uganda #COVID19UG,https://twitter.com/kentrac/status/1246356185990782976
603,"We have mobilised the whole nation, set up collective control and treatment mechanisms and acted with openness and transparency."" All these we are already doing I note by the way. Thanks for the reminder @DailyMonitor. #COVID19ug #COVID19",2020-04-04 08:20:40+00:00,#COVID19ug #COVID19,https://twitter.com/Ksharonnie/status/1246351968353824768
604,Whats not oppurtunistic about taking pictures with the relief food at the OPM before distributing it? #covid19ug,2020-04-04 08:20:20+00:00,#covid19ug,https://twitter.com/iamgidudu/status/1246351884526465025
605,@rkabushenga this is beautiful Uganda for me right now. And you keep updating us each time! Amazing. Thank you to all the companies within Uganda that are stepping up to the plate. God bless you with the spirit of love in your hearts. #COVID19UG #COVID19,2020-04-04 07:54:22+00:00,#COVID19UG #COVID19,https://twitter.com/Ksharonnie/status/1246345352619405314
606,Uganda confirms other 3 positive cases of COVID-19 after a sample of 419. 416 found positive. #COVID19UG Courtesy image ,2020-04-04 07:46:34+00:00,#COVID19UG,https://twitter.com/CampusSight/status/1246343390817591296
607,"Top story: @tonywbuganda: 'Thx to @JaneRuth_Aceng and @DianaAtwine for your leadership! World Bank Uganda glad to support #COVID19UG with $15m re-allocated from the Reproductive Maternal and Child Health Services Impro… , see more http://tweetedtimes.com/v/4287?s=tnp",2020-04-04 07:46:16+00:00,#COVID19UG,https://twitter.com/sema_nare/status/1246343311801155584
608,"Instead of 'begging' for only brand new cars, the president could have asked wellwishers to provide tents to food market sellers. #covid19ug",2020-04-04 07:27:33+00:00,#covid19ug,https://twitter.com/iamgidudu/status/1246338601887113216
